Disposition Year,Non-White Victim Cases Dismissed,Non-White Victim Cases Not Dismissed,Non-White Victim Total Cases,White Victim Cases Dismissed,White Victim Cases Not Dismissed,White Victim Cases Total,Percent of cases dismissed involving non-white victims,Percent of cases dismissed involving white victims
2020,103,1233,1336,180,1849,2029,7.7,8.9
2021,146,1317,1463,351,2101,2452,10.0,14.3
2022,199,1432,1631,391,2129,2520,12.2,15.5
2023,166,1424,1590,353,1972,2325,10.4,15.2
2024,195,1587,1782,410,2014,2424,10.9,16.9
2025,237,1380,1617,522,2429,2951,14.7,17.7
