Disposition Year,Non-White Victim Cases Dismissed,Non-White Victim Cases Not Dismissed,Non-White Victim Total Cases,White Victim Cases Dismissed,White Victim Cases Not Dismissed,White Victim Cases Total,Percent of cases dismissed involving non-white victims,Percent of cases dismissed involving white victims
2020,103,1233,1336,180,1849,2029,7.70958084,8.8713652
2021,146,1317,1463,351,2101,2452,9.97949419,14.31484502
2022,199,1432,1631,391,2129,2520,12.20110362,15.51587302
2023,166,1424,1590,353,1972,2325,10.44025157,15.1827957
2024,195,1586,1781,410,2014,2424,10.94890511,16.91419142
2025,237,1379,1616,522,2429,2951,14.66584158,17.68891901
