Disposition Year,Highest Income Neighborhood Cases Dismissed,Highest Income Neighborhood Cases Not Dismissed,Highest Income Neighborhood Total Cases Disposed,Lowest Income Neighborhood Cases Dismissed,Lowest Income Neighborhood Cases Not Dismissed,Lowest Income Neighborhood Total Cases Disposed,Percent of cases in highest income zip codes dismissed,Percent of cases in lowest income zip codes dismissed
2020,36,278,314,0,9,9,11.5,0.0
2021,76,323,399,3,1,4,19.0,75.0
2022,86,326,412,2,2,4,20.9,50.0
2023,92,315,407,3,0,3,22.6,100.0
2024,133,379,512,1,2,3,26.0,33.3
2025,145,414,559,1,7,8,25.9,12.5
