Disposition Year,Conviction,No Conviction,Total
2017,44,13,57
2018,37,18,55
2019,49,24,73
2020,44,19,63
2021,47,22,69
2022,47,15,62
2023,32,20,52
2024,37,23,60
2025,41,14,55
