District,Filing Quarter,Number of violent cases filed involving a child victim
19,2017 Q1,19
19,2017 Q2,22
19,2017 Q3,25
19,2017 Q4,29
19,2018 Q1,19
19,2018 Q2,16
19,2018 Q3,24
19,2018 Q4,33
19,2019 Q1,23
19,2019 Q2,29
19,2019 Q3,23
19,2019 Q4,30
19,2020 Q1,35
19,2020 Q2,27
19,2020 Q3,22
19,2020 Q4,26
19,2021 Q1,23
19,2021 Q2,23
19,2021 Q3,26
19,2021 Q4,17
19,2022 Q1,21
19,2022 Q2,26
19,2022 Q3,28
19,2022 Q4,24
19,2023 Q1,29
19,2023 Q2,47
19,2023 Q3,28
19,2023 Q4,30
19,2024 Q1,27
19,2024 Q2,41
19,2024 Q3,36
19,2024 Q4,22
19,2025 Q1,31
19,2025 Q2,36
19,2025 Q3,29
19,2025 Q4,32
19,2026 Q1,22
19,2026 Q2,29
