Filing Year,White Victim,NonWhite Victim,Total,Percent involving a white victim,Percent involving a non-white victim
2020,245,238,484,50.6,49.2
2021,236,199,436,54.1,45.6
2022,239,193,433,55.2,44.6
2023,275,245,520,52.9,47.1
2024,271,212,484,56.0,43.8
2025,325,199,525,61.9,37.9
