Filing Year,White Victim,NonWhite Victim,Total,Percent involving a white victim,Percent involving a non-white victim
2020,245,238,484,50.61983471,49.17355372
2021,236,199,436,54.12844037,45.64220183
2022,239,193,433,55.19630485,44.57274827
2023,275,245,520,52.88461538,47.11538462
2024,271,212,484,55.99173554,43.80165289
2025,326,199,526,61.97718631,37.83269962
