Filing Year,White,Black,Hispanic,Native American,Asian,Another Race/Ethnicity,Unknown/Missing
2017,311,0,7,1,0,430,301
2018,379,1,17,0,0,831,310
2019,391,2,1,4,0,508,319
2020,436,7,34,4,0,439,466
2021,448,6,161,1,2,662,388
2022,667,12,79,7,3,692,326
2023,518,10,104,5,2,653,510
2024,451,12,59,4,2,876,264
2025,438,7,4,3,2,901,198
