District,Disposition Year,Non-White Victim Cases Dismissed,Non-White Victim Cases Not Dismissed,Non-White Victim Total Cases,White Victim Cases Dismissed,White Victim Cases Not Dismissed,White Victim Cases Total,Percent of cases dismissed involving non-white victims,Percent of cases dismissed involving white victims
12,2020,49,141,190,104,305,409,25.78947368,25.42787286
12,2021,133,251,384,206,308,514,34.63541667,40.07782101
12,2022,136,339,475,153,338,491,28.63157895,31.16089613
12,2023,75,261,336,90,305,395,22.32142857,22.78481013
12,2024,97,315,412,108,255,363,23.54368932,29.75206612
12,2025,141,370,511,99,355,454,27.59295499,21.8061674
