District,Filing Year,Male,Female,Unknown/Missing
12,2017,351,434,265
12,2018,523,541,474
12,2019,419,528,278
12,2020,481,651,254
12,2021,515,751,402
12,2022,677,767,342
12,2023,682,789,331
12,2024,521,594,553
12,2025,320,451,782
