District,Filing Quarter,Number of violent cases filed involving a child victim
12,2017 Q1,8
12,2017 Q2,7
12,2017 Q3,5
12,2017 Q4,6
12,2018 Q1,3
12,2018 Q3,1
12,2018 Q4,5
12,2019 Q1,10
12,2019 Q2,3
12,2019 Q3,8
12,2019 Q4,7
12,2020 Q1,10
12,2020 Q2,8
12,2020 Q3,10
12,2020 Q4,6
12,2021 Q1,13
12,2021 Q2,7
12,2021 Q3,11
12,2021 Q4,8
12,2022 Q1,13
12,2022 Q2,10
12,2022 Q3,5
12,2022 Q4,4
12,2023 Q1,7
12,2023 Q2,9
12,2023 Q3,4
12,2023 Q4,9
12,2024 Q1,9
12,2024 Q2,8
12,2024 Q3,5
12,2024 Q4,7
12,2025 Q1,5
12,2025 Q2,5
12,2025 Q3,4
12,2025 Q4,8
12,2026 Q1,8
12,2026 Q2,11
