Filing Year,Male,Female,Unknown/Missing
2017,351,434,265
2018,523,541,474
2019,419,528,279
2020,481,651,254
2021,515,751,402
2022,677,767,342
2023,682,789,331
2024,533,604,554
2025,320,452,782
