Disposition Year,Highest Income Neighborhood Cases Dismissed,Highest Income Neighborhood Cases Not Dismissed,Highest Income Neighborhood Total Cases Disposed,Lowest Income Neighborhood Cases Dismissed,Lowest Income Neighborhood Cases Not Dismissed,Lowest Income Neighborhood Total Cases Disposed,Percent of cases in highest income zip codes dismissed,Percent of cases in lowest income zip codes dismissed
2020,24,49,73,34,154,188,32.9,18.1
2021,59,70,129,87,164,251,45.7,34.7
2022,39,63,102,86,196,282,38.2,30.5
2023,30,89,119,48,162,210,25.2,22.9
2024,31,75,106,70,165,235,29.2,29.8
2025,33,90,123,68,254,322,26.8,21.1
