Disposition Year,Non-White Victim Cases Dismissed,Non-White Victim Cases Not Dismissed,Non-White Victim Total Cases,White Victim Cases Dismissed,White Victim Cases Not Dismissed,White Victim Cases Total,Percent of cases dismissed involving non-white victims,Percent of cases dismissed involving white victims
2020,52,150,202,104,305,409,25.7,25.4
2021,134,254,388,206,308,514,34.5,40.1
2022,138,339,477,154,338,492,28.9,31.3
2023,78,267,345,91,310,401,22.6,22.7
2024,105,330,435,113,262,375,24.1,30.1
2025,145,375,520,102,358,460,27.9,22.2
