District,Disposition Quarter,Conviction,No Conviction,Total
12,2017 Q1,1,3,4
12,2017 Q2,1,1,2
12,2017 Q3,2,2,4
12,2017 Q4,4,2,6
12,2018 Q1,4,2,6
12,2018 Q2,3,2,5
12,2018 Q3,0,2,2
12,2018 Q4,3,1,4
12,2019 Q1,2,2,4
12,2019 Q2,3,2,5
12,2019 Q3,4,2,6
12,2019 Q4,1,4,5
12,2020 Q1,5,2,7
12,2020 Q2,4,1,5
12,2020 Q3,1,1,2
12,2020 Q4,0,4,4
12,2021 Q1,2,2,4
12,2021 Q2,3,1,4
12,2021 Q3,3,12,15
12,2021 Q4,5,5,10
12,2022 Q1,2,8,10
12,2022 Q2,3,8,11
12,2022 Q3,3,4,7
12,2022 Q4,2,2,4
12,2023 Q1,3,4,7
12,2023 Q2,1,1,2
12,2023 Q3,5,1,6
12,2023 Q4,4,4,8
12,2024 Q1,1,2,3
12,2024 Q2,1,1,2
12,2024 Q3,2,3,5
12,2024 Q4,1,3,4
12,2025 Q1,0,5,5
12,2025 Q2,4,1,5
12,2025 Q3,3,4,7
12,2025 Q4,1,1,2
