Disposition Quarter,Conviction,No Conviction,Total
2017 Q1,1,3,4
2017 Q2,1,1,2
2017 Q3,2,2,4
2017 Q4,4,2,6
2018 Q1,4,2,6
2018 Q2,3,2,5
2018 Q3,0,2,2
2018 Q4,3,1,4
2019 Q1,2,2,4
2019 Q2,3,2,5
2019 Q3,4,2,6
2019 Q4,1,4,5
2020 Q1,5,2,7
2020 Q2,4,1,5
2020 Q3,1,1,2
2020 Q4,0,4,4
2021 Q1,2,2,4
2021 Q2,3,1,4
2021 Q3,3,12,15
2021 Q4,5,5,10
2022 Q1,2,8,10
2022 Q2,3,8,11
2022 Q3,3,4,7
2022 Q4,2,2,4
2023 Q1,3,4,7
2023 Q2,1,1,2
2023 Q3,5,1,6
2023 Q4,4,4,8
2024 Q1,1,2,3
2024 Q2,1,1,2
2024 Q3,2,3,5
2024 Q4,1,3,4
2025 Q1,0,5,5
2025 Q2,4,1,5
2025 Q3,3,4,7
2025 Q4,1,1,2
