Disposition Year,Conviction,No Conviction,Total
2017,8,8,16
2018,10,7,17
2019,10,10,20
2020,10,8,18
2021,13,20,33
2022,10,22,32
2023,13,10,23
2024,5,9,14
2025,8,11,19
