District,Filing Quarter,Missing,Highest income zip code cases filed,Lowest income zip code cases filed,Middle income quintile cases filed,Total Cases Filed,Percent of violent crimes occuring in highest income zip codes,Percent of violent crimes occuring in lowest income zip codes
12,2017 Q1,2,9,7,5,23,39.13043478,30.43478261
12,2017 Q2,3,5,16,1,25,20.0,64.0
12,2017 Q3,1,8,14,11,34,23.52941176,41.17647059
12,2017 Q4,6,4,13,2,25,16.0,52.0
12,2018 Q1,3,3,7,5,18,16.66666667,38.88888889
12,2018 Q2,3,6,12,9,30,20.0,40.0
12,2018 Q3,1,2,7,7,17,11.76470588,41.17647059
12,2018 Q4,2,12,15,11,40,30.0,37.5
12,2019 Q1,4,7,15,15,41,17.07317073,36.58536585
12,2019 Q2,2,4,8,5,19,21.05263158,42.10526316
12,2019 Q3,3,13,14,13,43,30.23255814,32.55813953
12,2019 Q4,1,8,14,10,33,24.24242424,42.42424242
12,2020 Q1,3,6,14,6,29,20.68965517,48.27586207
12,2020 Q2,5,10,18,6,39,25.64102564,46.15384615
12,2020 Q3,1,8,24,10,43,18.60465116,55.81395349
12,2020 Q4,2,3,16,11,32,9.375,50.0
12,2021 Q1,3,9,14,16,42,21.42857143,33.33333333
12,2021 Q2,3,7,21,10,41,17.07317073,51.2195122
12,2021 Q3,1,5,28,7,41,12.19512195,68.29268293
12,2021 Q4,1,8,11,6,26,30.76923077,42.30769231
12,2022 Q1,2,13,12,11,38,34.21052632,31.57894737
12,2022 Q2,0,15,18,8,41,36.58536585,43.90243902
12,2022 Q3,2,5,13,11,31,16.12903226,41.93548387
12,2022 Q4,2,7,19,5,33,21.21212121,57.57575758
12,2023 Q1,4,6,23,14,47,12.76595745,48.93617021
12,2023 Q2,1,8,15,14,38,21.05263158,39.47368421
12,2023 Q3,3,11,11,7,32,34.375,34.375
12,2023 Q4,4,15,18,11,48,31.25,37.5
12,2024 Q1,4,4,15,9,32,12.5,46.875
12,2024 Q2,1,8,15,11,35,22.85714286,42.85714286
12,2024 Q3,3,6,16,5,30,20.0,53.33333333
12,2024 Q4,2,6,12,6,26,23.07692308,46.15384615
12,2025 Q1,4,2,14,3,23,8.69565217,60.86956522
12,2025 Q2,3,8,18,2,31,25.80645161,58.06451613
12,2025 Q3,2,8,13,9,32,25.0,40.625
12,2025 Q4,4,11,15,5,35,31.42857143,42.85714286
12,2026 Q1,5,5,14,6,30,16.66666667,46.66666667
12,2026 Q2,7,6,21,2,36,16.66666667,58.33333333
