Filing Year,White Victim,NonWhite Victim,Total,Percent involving a white victim,Percent involving a non-white victim
2020,86,58,144,59.7,40.3
2021,64,89,156,41.0,57.1
2022,71,81,156,45.5,51.9
2023,74,93,170,43.5,54.7
2024,37,87,129,28.7,67.4
2025,41,80,123,33.3,65.0
