Filing Quarter,Missing,Highest income zip code cases filed,Lowest income zip code cases filed,Middle income quintile cases filed,Total Cases Filed,Percent of violent crimes occuring in highest income zip codes,Percent of violent crimes occuring in lowest income zip codes
2017 Q1,2,9,7,5,23,39.1,30.4
2017 Q2,3,5,16,1,25,20.0,64.0
2017 Q3,1,8,14,11,34,23.5,41.2
2017 Q4,6,4,13,2,25,16.0,52.0
2018 Q1,3,3,7,5,18,16.7,38.9
2018 Q2,3,6,12,9,30,20.0,40.0
2018 Q3,1,2,7,7,17,11.8,41.2
2018 Q4,2,12,15,11,40,30.0,37.5
2019 Q1,4,7,15,15,41,17.1,36.6
2019 Q2,2,4,8,5,19,21.1,42.1
2019 Q3,3,13,14,13,43,30.2,32.6
2019 Q4,1,8,14,10,33,24.2,42.4
2020 Q1,3,6,14,6,29,20.7,48.3
2020 Q2,5,10,18,6,39,25.6,46.2
2020 Q3,1,8,24,10,43,18.6,55.8
2020 Q4,2,3,16,11,32,9.4,50.0
2021 Q1,3,9,14,16,42,21.4,33.3
2021 Q2,3,7,21,10,41,17.1,51.2
2021 Q3,1,5,28,7,41,12.2,68.3
2021 Q4,1,8,11,6,26,30.8,42.3
2022 Q1,2,13,12,11,38,34.2,31.6
2022 Q2,0,15,18,8,41,36.6,43.9
2022 Q3,2,5,13,11,31,16.1,41.9
2022 Q4,2,7,19,5,33,21.2,57.6
2023 Q1,4,6,23,14,47,12.8,48.9
2023 Q2,1,8,15,14,38,21.1,39.5
2023 Q3,3,11,11,7,32,34.4,34.4
2023 Q4,4,15,18,11,48,31.2,37.5
2024 Q1,4,4,15,9,32,12.5,46.9
2024 Q2,1,9,15,11,36,25.0,41.7
2024 Q3,3,6,16,5,30,20.0,53.3
2024 Q4,2,6,12,6,26,23.1,46.2
2025 Q1,4,2,14,3,23,8.7,60.9
2025 Q2,3,8,18,2,31,25.8,58.1
2025 Q3,2,8,13,9,32,25.0,40.6
2025 Q4,4,11,15,5,35,31.4,42.9
2026 Q1,5,5,14,6,30,16.7,46.7
2026 Q2,6,7,21,2,36,19.4,58.3
