Filing Quarter,Number of violent cases filed involving a child victim
2017 Q1,8
2017 Q2,7
2017 Q3,5
2017 Q4,6
2018 Q1,3
2018 Q3,1
2018 Q4,5
2019 Q1,10
2019 Q2,3
2019 Q3,8
2019 Q4,7
2020 Q1,10
2020 Q2,8
2020 Q3,10
2020 Q4,6
2021 Q1,13
2021 Q2,7
2021 Q3,11
2021 Q4,8
2022 Q1,13
2022 Q2,10
2022 Q3,5
2022 Q4,4
2023 Q1,7
2023 Q2,9
2023 Q3,4
2023 Q4,9
2024 Q1,9
2024 Q2,8
2024 Q3,5
2024 Q4,7
2025 Q1,5
2025 Q2,5
2025 Q3,4
2025 Q4,8
2026 Q1,8
2026 Q2,11
