Filing Year,White Victim,NonWhite Victim,Total,Percent involving a white victim,Percent involving a non-white victim
2020,86,58,144,59.72222222,40.27777778
2021,64,89,156,41.02564103,57.05128205
2022,71,81,156,45.51282051,51.92307692
2023,74,93,170,43.52941176,54.70588235
2024,37,86,128,28.90625,67.1875
2025,41,80,123,33.33333333,65.04065041
