Filing Year,Under 18,18-25 y.o.,26-35 y.o.,36+ y.o.,Unknown/Missing
2017,83,99,181,365,322
2018,84,94,211,440,709
2019,97,133,204,408,383
2020,153,162,230,520,321
2021,134,194,268,587,485
2022,139,190,260,722,475
2023,184,243,304,724,347
2024,138,217,225,712,376
2025,157,174,217,710,295
