Filing Quarter,Felonies filed per prosecutor,Felonies resolved per prosecutor
2017 Q1,18.75,18.5192
2017 Q2,19.2745,20.1698
2017 Q3,21.36,20.34
2017 Q4,19.5455,20.26
2018 Q1,19.1719,20.5208
2018 Q2,17.8841,20.5636
2018 Q3,19.4478,18.7931
2018 Q4,16.7188,18.3492
2019 Q1,17.1061,20.4516
2019 Q2,16.8571,17.4
2019 Q3,15.8788,17.5902
2019 Q4,14.1351,16.8305
2020 Q1,16.6418,14.5
2020 Q2,15.6452,9.8444
2020 Q3,14.3725,13.3704
2020 Q4,14.68,13.42
2021 Q1,15.0426,15.8431
2021 Q2,15.8958,16.898
2021 Q3,16.5102,18.7083
2021 Q4,15.5098,16.617
2022 Q1,17.7593,18.1818
2022 Q2,16.6818,18.6222
2022 Q3,16.9773,17.7872
2022 Q4,16.5652,16.7143
2023 Q1,16.907,20.275
2023 Q2,16.6512,19.9524
2023 Q3,16.4565,17.2857
2023 Q4,19.225,17.3333
2024 Q1,19.65,17.6585
2024 Q2,17.35,17.8049
2024 Q3,19.4359,20.0526
2024 Q4,15.2143,19.2162
2025 Q1,16.8649,19.2326
2025 Q2,18.9767,16.325
2025 Q3,19.3947,18.8378
2025 Q4,16.3784,17.6176
2026 Q1,17.0513,18.55
2026 Q2,18.3235,19.7949
