District,Filing Quarter,Felonies filed per prosecutor,Felonies resolved per prosecutor
01,2017 Q1,18.6964,18.5192
01,2017 Q2,19.6,20.5192
01,2017 Q3,21.1176,19.8077
01,2017 Q4,19.5682,20.5918
01,2018 Q1,19.3651,20.2653
01,2018 Q2,17.9855,20.8889
01,2018 Q3,19.5373,18.8448
01,2018 Q4,16.5692,18.4127
01,2019 Q1,17.1818,20.2063
01,2019 Q2,16.5077,17.4462
01,2019 Q3,15.9394,17.623
01,2019 Q4,14.0933,16.6167
01,2020 Q1,16.3623,14.5588
01,2020 Q2,15.6452,9.7826
01,2020 Q3,14.64,13.3704
01,2020 Q4,14.5098,13.2745
01,2021 Q1,14.9167,15.8627
01,2021 Q2,16.0208,16.898
01,2021 Q3,16.8125,18.6875
01,2021 Q4,15.84,16.8913
01,2022 Q1,17.9074,18.0
01,2022 Q2,16.7273,18.6889
01,2022 Q3,17.3488,17.8511
01,2022 Q4,16.9556,16.7143
01,2023 Q1,16.9535,20.0244
01,2023 Q2,17.0238,20.3415
01,2023 Q3,16.7778,17.3333
01,2023 Q4,20.1579,17.7317
01,2024 Q1,20.6316,18.025
01,2024 Q2,19.0,17.9512
01,2024 Q3,20.4595,21.0833
01,2024 Q4,16.3333,19.8611
01,2025 Q1,17.5278,19.7857
01,2025 Q2,20.225,16.675
01,2025 Q3,20.4167,19.8286
01,2025 Q4,17.2,19.0968
01,2026 Q1,18.25,20.0
01,2026 Q2,17.9063,20.5278
01,2026 Q3,6.0,
