Filing Quarter,Misdemeanor cases filed per prosecutor,Misdemeanor cases resolved per prosecutor
2017 Q1,54.0,71.125
2017 Q2,61.8261,63.3488
2017 Q3,53.8077,65.45
2017 Q4,59.2208,68.1837
2018 Q1,75.2394,86.1373
2018 Q2,58.9275,80.6939
2018 Q3,62.2381,80.0455
2018 Q4,62.9692,82.9778
2019 Q1,57.1642,74.1538
2019 Q2,62.831,75.8627
2019 Q3,57.3662,67.7963
2019 Q4,48.5811,68.8889
2020 Q1,50.878,71.4681
2020 Q2,41.6212,56.0
2020 Q3,40.56,52.1875
2020 Q4,45.7042,51.093
2021 Q1,43.6104,61.7551
2021 Q2,63.0411,67.1765
2021 Q3,62.4928,85.5
2021 Q4,57.0635,87.6667
2022 Q1,60.3167,99.0
2022 Q2,50.7869,79.4318
2022 Q3,55.4167,66.9574
2022 Q4,59.4483,72.7447
2023 Q1,60.3818,64.8235
2023 Q2,63.7885,76.1111
2023 Q3,64.3455,64.9574
2023 Q4,67.1569,72.1778
2024 Q1,85.0208,88.7273
2024 Q2,90.093,102.7805
2024 Q3,114.7105,117.3125
2024 Q4,107.0571,111.7568
2025 Q1,110.2727,112.0625
2025 Q2,103.8857,111.5
2025 Q3,122.5313,106.875
2025 Q4,114.8621,107.5161
