Filing Quarter,Felony,Misdemeanor,Petty/Offense,Total,Percent of filed cases with a felony top charge
2017 Q1,1008,4479,165,5652,17.8
2017 Q2,973,3614,143,4730,20.6
2017 Q3,898,4175,199,5272,17.0
2017 Q4,973,4229,219,5421,17.9
2018 Q1,991,3736,181,4908,20.2
2018 Q2,1036,4320,181,5537,18.7
2018 Q3,1047,3868,215,5130,20.4
2018 Q4,1024,3809,175,5008,20.4
2019 Q1,987,4152,148,5287,18.7
2019 Q2,1106,3915,169,5190,21.3
2019 Q3,1105,3488,135,4728,23.4
2019 Q4,1097,3757,164,5018,21.9
2020 Q1,965,4075,188,5228,18.5
2020 Q2,856,2949,123,3928,21.8
2020 Q3,765,2442,115,3322,23.0
2020 Q4,744,2675,82,3501,21.3
2021 Q1,745,3044,90,3879,19.2
2021 Q2,653,3179,108,3940,16.6
2021 Q3,746,2363,145,3254,22.9
2021 Q4,725,3138,118,3981,18.2
2022 Q1,760,3165,135,4060,18.7
2022 Q2,689,2254,136,3079,22.4
2022 Q3,816,2798,176,3790,21.5
2022 Q4,716,2644,146,3506,20.4
2023 Q1,742,3075,174,3991,18.6
2023 Q2,729,3086,151,3966,18.4
2023 Q3,801,2583,180,3564,22.5
2023 Q4,760,3442,313,4515,16.8
2024 Q1,757,3260,229,4246,17.8
2024 Q2,835,3369,205,4409,18.9
2024 Q3,850,3714,318,4882,17.4
2024 Q4,831,3873,257,4961,16.8
2025 Q1,776,4358,247,5381,14.4
2025 Q2,903,4719,332,5954,15.2
2025 Q3,878,5030,463,6371,13.8
2025 Q4,832,4065,356,5253,15.8
2026 Q1,771,3825,291,4887,15.8
2026 Q2,787,4531,397,5715,13.8
