District,Filing Quarter,Felony,Misdemeanor,Petty/Offense,Total,Percent of filed cases with a felony top charge
18,2018 Q3,1047,3868,215,5130,20.40935673
18,2019 Q2,1106,3915,169,5190,21.31021195
18,2020 Q4,744,2675,82,3501,21.25107112
18,2026 Q1,771,3824,291,4886,15.77977896
18,2025 Q3,878,5030,463,6371,13.78119604
18,2021 Q3,746,2363,145,3254,22.92562999
18,2023 Q1,742,3075,174,3991,18.59183162
18,2017 Q3,898,4175,199,5272,17.03338392
18,2025 Q4,832,4065,356,5253,15.83856844
18,2021 Q2,653,3179,108,3940,16.57360406
18,2019 Q1,987,4152,148,5287,18.668432
18,2022 Q2,689,2254,136,3079,22.37739526
18,2018 Q1,991,3736,181,4908,20.19152404
18,2019 Q4,1097,3757,164,5018,21.86129932
18,2021 Q1,745,3044,90,3879,19.20598092
18,2019 Q3,1105,3488,135,4728,23.3714044
18,2024 Q1,757,3260,229,4246,17.82854451
18,2018 Q2,1036,4320,181,5537,18.71049305
18,2020 Q1,965,4075,188,5228,18.45830145
18,2023 Q4,760,3442,313,4515,16.83277962
18,2018 Q4,1024,3809,175,5008,20.44728435
18,2020 Q3,765,2442,115,3322,23.02829621
18,2017 Q4,973,4229,219,5421,17.94871795
18,2024 Q3,850,3714,318,4882,17.41089717
18,2024 Q2,835,3369,205,4409,18.93853482
18,2026 Q3,40,129,26,195,20.51282051
18,2029 Q1,0,1,0,1,0.0
18,2017 Q1,1008,4479,165,5652,17.8343949
18,2022 Q3,817,2798,176,3791,21.55104194
18,2025 Q1,776,4358,247,5381,14.42111132
18,2033 Q3,0,1,0,1,0.0
18,2023 Q2,729,3086,151,3966,18.38124054
18,2017 Q2,973,3614,143,4730,20.57082452
18,2020 Q2,856,2949,123,3928,21.79226069
18,2023 Q3,801,2583,180,3564,22.47474747
18,2022 Q1,760,3165,135,4060,18.71921182
18,2024 Q4,831,3873,257,4961,16.75065511
18,2026 Q2,787,4529,398,5714,13.77318866
18,2021 Q4,725,3138,118,3981,18.21150465
18,2025 Q2,903,4719,332,5954,15.16627477
18,2022 Q4,716,2644,146,3506,20.42213349
