District,Filing Quarter,Number of violent cases filed per quarter
18,2018 Q3,213
18,2019 Q2,192
18,2020 Q4,189
18,2026 Q1,206
18,2025 Q3,234
18,2021 Q3,225
18,2023 Q1,203
18,2017 Q3,159
18,2025 Q4,208
18,2021 Q2,192
18,2019 Q1,209
18,2022 Q2,207
18,2018 Q1,177
18,2019 Q4,187
18,2021 Q1,200
18,2019 Q3,217
18,2024 Q1,202
18,2018 Q2,200
18,2020 Q1,178
18,2023 Q4,205
18,2018 Q4,195
18,2020 Q3,202
18,2017 Q4,196
18,2024 Q3,212
18,2024 Q2,209
18,2026 Q3,14
18,2029 Q1,0
18,2017 Q1,140
18,2022 Q3,207
18,2025 Q1,239
18,2033 Q3,0
18,2023 Q2,213
18,2017 Q2,165
18,2020 Q2,234
18,2023 Q3,219
18,2022 Q1,173
18,2024 Q4,197
18,2026 Q2,223
18,2021 Q4,214
18,2025 Q2,193
18,2022 Q4,224
