Filing Year,Person,Sex Offense,Weapons,Property,Drugs,DUI,Other,Traffic
2020,3090,180,236,2106,723,1156,1097,7391
2021,3140,209,195,1722,627,977,931,7253
2022,3318,222,235,2005,773,1073,842,5967
2023,3648,153,261,2140,1020,1192,976,6646
2024,3948,170,271,2435,1119,1076,1130,8349
2025,4733,200,296,2874,1242,1415,1365,10835
