District,Filing Year,Felony,Misdemeanor,Petty Offense/Infraction
18,2017,3852,16497,726
18,2018,4098,15733,752
18,2019,4295,15312,616
18,2020,3330,12141,508
18,2021,2869,11724,461
18,2022,2982,10861,593
18,2023,3032,12186,818
18,2024,3273,14216,1009
18,2025,3389,18172,1398
