District,Filing Year,No prior convictions,Prior felony conviction,Prior misdemeanor conviction only
07,2017,3557,707,1447
07,2018,3320,741,1572
07,2019,3076,839,1746
07,2020,2589,933,1616
07,2021,2679,1018,1776
07,2022,2306,929,1605
07,2023,2342,827,1397
07,2024,2469,826,1470
07,2025,2536,782,1495
