Filing Quarter,At least 1 prior violent conviction,No prior violent convictions,Total,Percent of defendants with prior violent conviction,Percent of defendants with no prior violent convictions
2017 Q1,1,22,23,4.3,95.7
2017 Q2,1,12,13,7.7,92.3
2017 Q3,2,36,38,5.3,94.7
2017 Q4,0,28,28,0.0,100.0
2018 Q1,2,29,31,6.5,93.5
2018 Q2,2,27,29,6.9,93.1
2018 Q3,2,35,37,5.4,94.6
2018 Q4,3,21,24,12.5,87.5
2019 Q1,1,34,35,2.9,97.1
2019 Q2,1,27,28,3.6,96.4
2019 Q3,5,37,42,11.9,88.1
2019 Q4,7,33,40,17.5,82.5
2020 Q1,5,30,35,14.3,85.7
2020 Q2,7,23,30,23.3,76.7
2020 Q3,5,42,47,10.6,89.4
2020 Q4,8,20,28,28.6,71.4
2021 Q1,7,34,41,17.1,82.9
2021 Q2,3,45,48,6.2,93.8
2021 Q3,8,34,42,19.0,81.0
2021 Q4,6,30,36,16.7,83.3
2022 Q1,7,40,47,14.9,85.1
2022 Q2,3,32,35,8.6,91.4
2022 Q3,5,27,32,15.6,84.4
2022 Q4,8,27,35,22.9,77.1
2023 Q1,3,29,32,9.4,90.6
2023 Q2,4,25,29,13.8,86.2
2023 Q3,6,20,26,23.1,76.9
2023 Q4,13,23,36,36.1,63.9
2024 Q1,8,32,40,20.0,80.0
2024 Q2,6,22,28,21.4,78.6
2024 Q3,3,38,41,7.3,92.7
2024 Q4,7,24,31,22.6,77.4
2025 Q1,6,23,29,20.7,79.3
2025 Q2,0,33,33,0.0,100.0
2025 Q3,10,13,23,43.5,56.5
2025 Q4,1,37,38,2.6,97.4
2026 Q1,4,27,31,12.9,87.1
2026 Q2,8,33,41,19.5,80.5
