Filing Year,No prior convictions,Prior felony conviction,Prior misdemeanor conviction only
2017,3555,707,1448
2018,3319,742,1572
2019,3074,839,1748
2020,2590,933,1615
2021,2680,1019,1775
2022,2306,930,1604
2023,2337,832,1397
2024,2465,827,1473
2025,2528,788,1498
