District,Filing Year,White,Black,Hispanic,Native American,Asian,Another Race/Ethnicity,Missing/Unknown
07,2017,4378,73,852,23,14,169,202
07,2018,4188,69,970,27,27,179,173
07,2019,4160,98,1055,28,16,183,121
07,2020,3780,93,955,29,17,135,129
07,2021,4138,114,1001,37,21,84,78
07,2022,3500,108,1045,32,11,74,70
07,2023,3239,65,1065,22,14,97,64
07,2024,3466,78,1031,22,20,74,74
07,2025,3398,120,1089,25,26,90,65
