Filing Year,Male,Female,Another Gender,Unknown/Missing
2017,4135,1529,10,37
2018,4106,1502,5,20
2019,4073,1564,5,19
2020,3771,1340,5,22
2021,4012,1441,7,13
2022,3553,1267,3,17
2023,3374,1153,6,33
2024,3464,1265,1,35
2025,3569,1213,7,24
