Filing Quarter,At least 1 prior violent conviction,No prior violent convictions,Total,Percent of defendants with prior violent conviction,Percent of defendants with no prior violent convictions
2017 Q1,1,22,23,4.34782609,95.65217391
2017 Q2,1,12,13,7.69230769,92.30769231
2017 Q3,2,36,38,5.26315789,94.73684211
2017 Q4,0,28,28,0.0,100.0
2018 Q1,2,29,31,6.4516129,93.5483871
2018 Q2,2,27,29,6.89655172,93.10344828
2018 Q3,2,35,37,5.40540541,94.59459459
2018 Q4,3,21,24,12.5,87.5
2019 Q1,1,34,35,2.85714286,97.14285714
2019 Q2,1,27,28,3.57142857,96.42857143
2019 Q3,5,37,42,11.9047619,88.0952381
2019 Q4,7,33,40,17.5,82.5
2020 Q1,5,30,35,14.28571429,85.71428571
2020 Q2,7,23,30,23.33333333,76.66666667
2020 Q3,5,42,47,10.63829787,89.36170213
2020 Q4,8,20,28,28.57142857,71.42857143
2021 Q1,7,34,41,17.07317073,82.92682927
2021 Q2,3,45,48,6.25,93.75
2021 Q3,8,34,42,19.04761905,80.95238095
2021 Q4,6,30,36,16.66666667,83.33333333
2022 Q1,7,40,47,14.89361702,85.10638298
2022 Q2,3,32,35,8.57142857,91.42857143
2022 Q3,5,27,32,15.625,84.375
2022 Q4,8,27,35,22.85714286,77.14285714
2023 Q1,3,29,32,9.375,90.625
2023 Q2,4,25,29,13.79310345,86.20689655
2023 Q3,6,20,26,23.07692308,76.92307692
2023 Q4,13,23,36,36.11111111,63.88888889
2024 Q1,8,32,40,20.0,80.0
2024 Q2,6,22,28,21.42857143,78.57142857
2024 Q3,3,38,41,7.31707317,92.68292683
2024 Q4,7,24,31,22.58064516,77.41935484
2025 Q1,6,23,29,20.68965517,79.31034483
2025 Q2,0,33,33,0.0,100.0
2025 Q3,10,13,23,43.47826087,56.52173913
2025 Q4,1,37,38,2.63157895,97.36842105
2026 Q1,4,27,31,12.90322581,87.09677419
2026 Q2,8,32,40,20.0,80.0
