Filing Year,Under 18,18-25 y.o.,26-35 y.o.,36+ y.o.,Missing/Unknown
2017,331,1485,1565,2166,164
2018,326,1348,1657,2257,45
2019,264,1389,1681,2288,39
2020,254,1163,1504,2172,45
2021,223,1193,1602,2424,31
2022,230,942,1439,2209,20
2023,190,901,1312,2145,18
2024,221,906,1440,2183,15
2025,214,891,1352,2348,8
