Disposition Quarter,At least 1 prior felony conviction,Prior misdemeanor convictions only,No prior convictions,Total
2017 Q1,41,20,27,88
2017 Q2,21,20,17,58
2017 Q3,41,29,30,100
2017 Q4,41,15,16,72
2018 Q1,36,21,13,70
2018 Q2,39,18,15,72
2018 Q3,40,23,16,79
2018 Q4,27,27,14,68
2019 Q1,23,25,21,69
2019 Q2,33,18,11,62
2019 Q3,49,31,15,95
2019 Q4,24,20,16,60
2020 Q1,39,17,20,76
2020 Q2,20,15,13,48
2020 Q3,34,16,15,65
2020 Q4,24,33,17,74
2021 Q1,38,14,18,70
2021 Q2,40,18,18,76
2021 Q3,28,19,18,65
2021 Q4,24,18,10,52
2022 Q1,26,17,13,56
2022 Q2,58,15,13,86
2022 Q3,38,17,12,67
2022 Q4,22,7,7,36
2023 Q1,35,11,14,60
2023 Q2,23,23,12,58
2023 Q3,28,14,12,54
2023 Q4,25,8,9,42
2024 Q1,20,12,12,44
2024 Q2,17,15,7,39
2024 Q3,19,9,8,36
2024 Q4,15,10,7,32
2025 Q1,25,6,5,36
2025 Q2,19,14,7,40
2025 Q3,20,9,9,38
2025 Q4,17,8,14,39
2026 Q1,16,14,10,40
2026 Q2,13,10,9,32
