Filing Year,White,Black,Hispanic,Native American,Asian,Another Race/Ethnicity,Missing/Unknown
2017,4376,73,855,24,14,167,201
2018,4185,69,971,28,27,180,173
2019,4156,98,1058,30,16,182,121
2020,3777,93,955,35,17,135,126
2021,4130,114,1003,43,21,86,77
2022,3493,108,1046,36,11,76,70
2023,3239,65,1064,22,14,98,64
2024,3466,78,1031,22,20,74,74
2025,3396,121,1086,26,26,95,64
