District,Filing Quarter,Missing,Highest income zip code cases filed,Lowest income zip code cases filed,Middle income quintile cases filed,Total Cases Filed,Percent of violent crimes occuring in highest income zip codes,Percent of violent crimes occuring in lowest income zip codes
08,2024,37,107,107,84,440,24.31818182,24.31818182
08,2021,8,73,69,68,368,19.83695652,18.75
08,2022,9,102,64,76,401,25.43640898,15.96009975
08,2025,27,85,92,92,433,19.63048499,21.24711316
08,2019,10,57,74,69,322,17.70186335,22.98136646
08,2020,5,80,80,64,369,21.6802168,21.6802168
08,2023,28,122,65,110,475,25.68421053,13.68421053
08,2017,8,73,66,56,338,21.59763314,19.52662722
08,2026,11,37,35,34,176,21.02272727,19.88636364
08,2018,12,65,58,60,308,21.1038961,18.83116883
