Filing Year,White Victim,NonWhite Victim,Total,Percent involving a white victim,Percent involving a non-white victim
2020,59,311,371,15.90296496,83.82749326
2021,43,326,369,11.65311653,88.34688347
2022,29,372,402,7.21393035,92.53731343
2023,101,374,477,21.17400419,78.4067086
2024,160,282,448,35.71428571,62.94642857
2025,162,273,435,37.24137931,62.75862069
