Filing Year,White Victim,NonWhite Victim,Total,Percent involving a white victim,Percent involving a non-white victim
2020,59,311,371,15.9,83.8
2021,44,325,369,11.9,88.1
2022,29,372,402,7.2,92.5
2023,101,374,477,21.2,78.4
2024,160,282,448,35.7,62.9
2025,165,274,439,37.6,62.4
