Filing Year,Male,Female,Unknown/Missing
2017,1716,1962,1564
2018,1619,1875,1722
2019,1645,1959,1548
2020,1685,2080,1244
2021,906,1360,2420
2022,1039,1338,3438
2023,1362,1555,2997
2024,1389,1647,2738
2025,1482,1706,1643
