Disposition Year,Highest Income Neighborhood Cases Dismissed,Highest Income Neighborhood Cases Not Dismissed,Highest Income Neighborhood Total Cases Disposed,Lowest Income Neighborhood Cases Dismissed,Lowest Income Neighborhood Cases Not Dismissed,Lowest Income Neighborhood Total Cases Disposed,Percent of cases in highest income zip codes dismissed,Percent of cases in lowest income zip codes dismissed
2020,55,261,316,62,275,337,17.4,18.4
2021,67,263,330,71,285,356,20.3,19.9
2022,108,273,381,92,270,362,28.3,25.4
2023,109,334,443,93,286,379,24.6,24.5
2024,105,377,482,88,286,374,21.8,23.5
2025,95,379,474,96,300,396,20.0,24.2
