Disposition Year,Non-White Victim Cases Dismissed,Non-White Victim Cases Not Dismissed,Non-White Victim Total Cases,White Victim Cases Dismissed,White Victim Cases Not Dismissed,White Victim Cases Total,Percent of cases dismissed involving non-white victims,Percent of cases dismissed involving white victims
2020,234,1726,1960,228,1153,1381,11.9,16.5
2021,289,1907,2196,234,1185,1419,13.2,16.5
2022,403,2203,2606,316,1148,1464,15.5,21.6
2023,346,2288,2634,346,1218,1564,13.1,22.1
2024,326,2035,2361,323,1364,1687,13.8,19.1
2025,350,1944,2294,295,1300,1595,15.3,18.5
