Disposition Year,Highest Income Neighborhood Cases Dismissed,Highest Income Neighborhood Cases Not Dismissed,Highest Income Neighborhood Total Cases Disposed,Lowest Income Neighborhood Cases Dismissed,Lowest Income Neighborhood Cases Not Dismissed,Lowest Income Neighborhood Total Cases Disposed,Percent of cases in highest income zip codes dismissed,Percent of cases in lowest income zip codes dismissed
2020,48,248,296,46,273,319,16.2,14.4
2021,32,267,299,33,296,329,10.7,10.0
2022,41,331,372,53,296,349,11.0,15.2
2023,65,300,365,59,267,326,17.8,18.1
2024,72,323,395,55,260,315,18.2,17.5
2025,53,303,356,48,240,288,14.9,16.7
