Disposition Year,Conviction,No Conviction,Total
2017,33,14,47
2018,47,18,65
2019,50,35,85
2020,43,17,60
2021,41,13,54
2022,30,19,49
2023,45,21,66
2024,36,18,54
2025,23,17,40
