District,Disposition Year,Non-White Victim Cases Dismissed,Non-White Victim Cases Not Dismissed,Non-White Victim Total Cases,White Victim Cases Dismissed,White Victim Cases Not Dismissed,White Victim Cases Total,Percent of cases dismissed involving non-white victims,Percent of cases dismissed involving white victims
08,2020,234,1726,1960,228,1153,1381,11.93877551,16.50977552
08,2021,289,1907,2196,234,1185,1419,13.16029144,16.49048626
08,2022,403,2203,2606,316,1148,1464,15.46431312,21.58469945
08,2023,346,2288,2634,346,1218,1564,13.13591496,22.12276215
08,2024,326,2035,2361,323,1364,1687,13.8077086,19.14641375
08,2025,348,1944,2292,295,1300,1595,15.18324607,18.49529781
