District,Filing Year,Male,Female,Unknown/Missing
08,2017,1716,1962,1564
08,2018,1619,1875,1722
08,2019,1645,1959,1547
08,2020,1685,2080,1244
08,2021,906,1359,2421
08,2022,1039,1338,3438
08,2023,1362,1554,2998
08,2024,1390,1646,2738
08,2025,1477,1702,1637
