Filing Quarter,Missing,Highest income zip code cases filed,Lowest income zip code cases filed,Middle income quintile cases filed,Total Cases Filed,Percent of violent crimes occuring in highest income zip codes,Percent of violent crimes occuring in lowest income zip codes
2017 Q1,1,18,16,13,89,20.2,18.0
2017 Q2,4,12,20,11,78,15.4,25.6
2017 Q3,2,27,13,16,92,29.3,14.1
2017 Q4,1,16,17,16,79,20.3,21.5
2018 Q1,2,14,14,12,68,20.6,20.6
2018 Q2,2,14,12,16,70,20.0,17.1
2018 Q3,4,18,10,20,80,22.5,12.5
2018 Q4,4,19,22,12,90,21.1,24.4
2019 Q1,3,12,19,17,78,15.4,24.4
2019 Q2,1,10,21,20,76,13.2,27.6
2019 Q3,2,21,21,14,93,22.6,22.6
2019 Q4,4,14,13,18,75,18.7,17.3
2020 Q1,2,18,18,16,85,21.2,21.2
2020 Q2,0,10,25,18,93,10.8,26.9
2020 Q3,1,20,18,14,87,23.0,20.7
2020 Q4,2,32,19,16,104,30.8,18.3
2021 Q1,2,16,15,15,83,19.3,18.1
2021 Q2,0,21,19,15,99,21.2,19.2
2021 Q3,4,19,23,15,99,19.2,23.2
2021 Q4,2,17,12,23,87,19.5,13.8
2022 Q1,2,26,9,16,92,28.3,9.8
2022 Q2,2,24,21,19,96,25.0,21.9
2022 Q3,1,21,20,13,98,21.4,20.4
2022 Q4,4,31,14,28,115,27.0,12.2
2023 Q1,5,31,16,23,121,25.6,13.2
2023 Q2,3,33,9,23,99,33.3,9.1
2023 Q3,6,26,22,28,113,23.0,19.5
2023 Q4,14,32,18,36,142,22.5,12.7
2024 Q1,12,21,27,17,107,19.6,25.2
2024 Q2,10,32,23,27,116,27.6,19.8
2024 Q3,10,22,29,18,104,21.2,27.9
2024 Q4,5,33,28,22,113,29.2,24.8
2025 Q1,6,13,19,25,93,14.0,20.4
2025 Q2,3,29,25,17,115,25.2,21.7
2025 Q3,8,25,28,25,121,20.7,23.1
2025 Q4,10,19,22,25,107,17.8,20.6
2026 Q1,5,19,20,12,83,22.9,24.1
2026 Q2,5,20,14,21,90,22.2,15.6
