Filing Year,No prior convictions,Prior felony conviction,Prior misdemeanor conviction only
2017,9442,770,1964
2018,8891,955,2040
2019,8963,1051,2116
2020,7758,1198,1976
2021,7526,1284,2046
2022,7250,1230,1993
2023,8521,1308,1986
2024,9373,1342,2201
2025,8666,1238,2147
