District,Filing Year,No prior convictions,Prior felony conviction,Prior misdemeanor conviction only
23,2017,9442,770,1964
23,2018,8894,955,2037
23,2019,8967,1051,2112
23,2020,7762,1197,1973
23,2021,7533,1282,2041
23,2022,7253,1231,1989
23,2023,8528,1305,1982
23,2024,9376,1337,2203
23,2025,8676,1231,2141
