District,Filing Year,Under 18,18-25 y.o.,26-35 y.o.,36+ y.o.,Missing/Unknown
23,2017,1044,3304,3160,4631,37
23,2018,1205,2956,3154,4534,37
23,2019,1159,2852,3387,4682,50
23,2020,880,2709,3133,4181,29
23,2021,844,2546,3203,4237,26
23,2022,983,2298,2941,4235,16
23,2023,1036,2571,3355,4837,16
23,2024,1016,2847,3730,5303,20
23,2025,971,2440,3309,5307,21
