District,Filing Quarter,At least 1 prior violent conviction,No prior violent convictions,Total,Percent of defendants with prior violent conviction,Percent of defendants with no prior violent convictions
23,2017 Q1,3,45,48,6.25,93.75
23,2017 Q2,2,44,46,4.34782609,95.65217391
23,2017 Q3,4,34,38,10.52631579,89.47368421
23,2017 Q4,6,53,59,10.16949153,89.83050847
23,2018 Q1,9,51,60,15.0,85.0
23,2018 Q2,5,41,46,10.86956522,89.13043478
23,2018 Q3,5,34,39,12.82051282,87.17948718
23,2018 Q4,3,39,42,7.14285714,92.85714286
23,2019 Q1,11,37,48,22.91666667,77.08333333
23,2019 Q2,4,41,45,8.88888889,91.11111111
23,2019 Q3,5,54,59,8.47457627,91.52542373
23,2019 Q4,4,49,53,7.54716981,92.45283019
23,2020 Q1,5,39,44,11.36363636,88.63636364
23,2020 Q2,2,36,38,5.26315789,94.73684211
23,2020 Q3,9,44,53,16.98113208,83.01886792
23,2020 Q4,6,61,67,8.95522388,91.04477612
23,2021 Q1,3,33,36,8.33333333,91.66666667
23,2021 Q2,6,34,40,15.0,85.0
23,2021 Q3,7,51,58,12.06896552,87.93103448
23,2021 Q4,9,52,61,14.75409836,85.24590164
23,2022 Q1,4,60,64,6.25,93.75
23,2022 Q2,7,38,45,15.55555556,84.44444444
23,2022 Q3,5,39,44,11.36363636,88.63636364
23,2022 Q4,2,30,32,6.25,93.75
23,2023 Q1,3,47,50,6.0,94.0
23,2023 Q2,9,45,54,16.66666667,83.33333333
23,2023 Q3,4,50,54,7.40740741,92.59259259
23,2023 Q4,11,55,66,16.66666667,83.33333333
23,2024 Q1,8,60,68,11.76470588,88.23529412
23,2024 Q2,7,47,54,12.96296296,87.03703704
23,2024 Q3,5,62,67,7.46268657,92.53731343
23,2024 Q4,14,63,77,18.18181818,81.81818182
23,2025 Q1,4,47,51,7.84313725,92.15686275
23,2025 Q2,9,65,74,12.16216216,87.83783784
23,2025 Q3,10,46,56,17.85714286,82.14285714
23,2025 Q4,3,48,51,5.88235294,94.11764706
23,2026 Q1,3,52,55,5.45454545,94.54545455
23,2026 Q2,6,62,68,8.82352941,91.17647059
