District,Disposition Quarter,At least 1 prior felony conviction,Prior misdemeanor convictions only,No prior convictions,Total
23,2017 Q1,46,28,68,142
23,2017 Q2,39,34,61,134
23,2017 Q3,43,36,65,144
23,2017 Q4,59,46,66,171
23,2018 Q1,53,42,55,150
23,2018 Q2,85,49,64,198
23,2018 Q3,48,37,79,164
23,2018 Q4,66,53,70,189
23,2019 Q1,95,36,51,182
23,2019 Q2,77,40,66,183
23,2019 Q3,57,32,57,146
23,2019 Q4,38,31,48,117
23,2020 Q1,69,37,46,152
23,2020 Q2,25,18,19,62
23,2020 Q3,52,21,32,105
23,2020 Q4,44,24,28,96
23,2021 Q1,68,20,32,120
23,2021 Q2,66,27,39,132
23,2021 Q3,82,29,47,158
23,2021 Q4,70,34,32,136
23,2022 Q1,81,34,40,155
23,2022 Q2,108,32,34,174
23,2022 Q3,84,39,40,163
23,2022 Q4,70,29,36,135
23,2023 Q1,98,49,53,200
23,2023 Q2,86,41,54,181
23,2023 Q3,86,40,40,166
23,2023 Q4,95,29,44,168
23,2024 Q1,105,35,40,180
23,2024 Q2,98,44,55,197
23,2024 Q3,77,32,43,152
23,2024 Q4,81,21,38,140
23,2025 Q1,92,39,47,178
23,2025 Q2,71,27,46,144
23,2025 Q3,69,41,38,148
23,2025 Q4,57,20,34,111
23,2026 Q1,55,19,47,121
23,2026 Q2,36,19,25,80
