Filing Year,White,Black,Hispanic,Native American,Asian,Another Race/Ethnicity,Missing/Unknown
2017,9196,906,1401,27,158,396,92
2018,8739,966,1440,30,169,400,142
2019,8708,1050,1596,46,176,393,161
2020,7553,995,1590,27,151,393,223
2021,7495,977,1686,28,128,389,153
2022,7436,972,1620,21,161,207,56
2023,7993,1161,2091,30,242,217,81
2024,8114,1152,2950,39,225,345,91
2025,7717,1117,2585,44,241,244,103
