Filing Quarter,At least 1 prior violent conviction,No prior violent convictions,Total,Percent of defendants with prior violent conviction,Percent of defendants with no prior violent convictions
2017 Q1,3,45,48,6.2,93.8
2017 Q2,2,44,46,4.3,95.7
2017 Q3,4,34,38,10.5,89.5
2017 Q4,6,53,59,10.2,89.8
2018 Q1,9,51,60,15.0,85.0
2018 Q2,5,41,46,10.9,89.1
2018 Q3,5,34,39,12.8,87.2
2018 Q4,3,39,42,7.1,92.9
2019 Q1,11,37,48,22.9,77.1
2019 Q2,4,41,45,8.9,91.1
2019 Q3,5,54,59,8.5,91.5
2019 Q4,4,49,53,7.5,92.5
2020 Q1,5,39,44,11.4,88.6
2020 Q2,2,36,38,5.3,94.7
2020 Q3,9,44,53,17.0,83.0
2020 Q4,6,61,67,9.0,91.0
2021 Q1,3,33,36,8.3,91.7
2021 Q2,6,34,40,15.0,85.0
2021 Q3,7,51,58,12.1,87.9
2021 Q4,9,52,61,14.8,85.2
2022 Q1,4,60,64,6.2,93.8
2022 Q2,7,38,45,15.6,84.4
2022 Q3,5,39,44,11.4,88.6
2022 Q4,2,30,32,6.2,93.8
2023 Q1,3,47,50,6.0,94.0
2023 Q2,9,45,54,16.7,83.3
2023 Q3,4,50,54,7.4,92.6
2023 Q4,11,55,66,16.7,83.3
2024 Q1,8,60,68,11.8,88.2
2024 Q2,7,47,54,13.0,87.0
2024 Q3,5,62,67,7.5,92.5
2024 Q4,14,63,77,18.2,81.8
2025 Q1,4,47,51,7.8,92.2
2025 Q2,9,65,74,12.2,87.8
2025 Q3,10,46,56,17.9,82.1
2025 Q4,3,49,52,5.8,94.2
2026 Q1,3,52,55,5.5,94.5
2026 Q2,7,62,69,10.1,89.9
