Filing Year,Male,Female,Another Gender,Unknown/Missing
2017,8378,3396,22,380
2018,8115,3430,27,314
2019,8234,3478,28,390
2020,7512,2828,21,571
2021,7494,2910,9,443
2022,7374,3003,3,93
2023,8239,3449,3,124
2024,9325,3457,3,131
2025,8622,3300,2,124
