District,Referral Year,Felony Referrals Filed,Felony Referrals Not Filed,Total Felony Referrals,Felony Cases Acquitted,Felony Cases Deferred,Felony Cases Dismissed,Felony Cases Found Guilty,Felony Cases Plea Dismissal,Felony Cases Plead Guilty,Total Felony Cases Disposed,Percent of felony referrals declined,Percent of felony cases dismissed after filing
05,2017,854,49,903,4,169,69,21,24,478,765,5.42635659,9.01960784
05,2018,916,66,982,8,148,93,13,35,522,819,6.7209776,11.35531136
05,2019,842,146,988,10,138,63,13,31,545,800,14.77732794,7.875
05,2020,728,169,897,2,124,72,7,21,365,591,18.84057971,12.18274112
05,2021,880,183,1063,3,141,78,20,35,488,765,17.21542803,10.19607843
05,2022,707,210,917,4,179,83,4,18,497,785,22.90076336,10.57324841
05,2023,670,216,886,8,160,93,17,18,394,690,24.37923251,13.47826087
05,2024,668,123,791,3,144,59,7,25,330,568,15.54993679,10.38732394
05,2025,641,104,745,3,125,76,9,29,348,590,13.95973154,12.88135593
05,2026,319,38,357,3,67,37,4,12,149,272,10.6442577,13.60294118
