Referral Year,Felony Referrals Filed,Felony Referrals Not Filed,Total Felony Referrals,Felony Cases Acquitted,Felony Cases Deferred,Felony Cases Dismissed,Felony Cases Found Guilty,Felony Cases Plea Dismissal,Felony Cases Plead Guilty,Total Felony Cases Disposed,Percent of felony referrals declined,Percent of felony cases dismissed after filing
2017,854,11,865,4,169,69,21,24,478,765,1.3,9.0
2018,916,12,928,8,148,93,13,35,522,819,1.3,11.4
2019,842,22,864,10,138,63,13,31,545,800,2.5,7.9
2020,728,22,750,2,124,72,7,21,365,591,2.9,12.2
2021,880,7,887,3,141,78,20,35,488,765,0.8,10.2
2022,707,10,717,4,179,83,4,18,497,785,1.4,10.6
2023,670,0,670,8,160,93,17,18,394,690,0.0,13.5
2024,668,3,671,3,144,59,7,25,331,569,0.4,10.4
2025,641,3,644,3,125,76,9,29,348,590,0.5,12.9
