Referral Year,Black Felony Referrals Filed,Black Felony Referrals Not Filed,Black Total Felony Referrals,Hispanic Felony Referrals Filed,Hispanic Felony Referrals Not Filed,Hispanic Total Felony Referrals,Native American Felony Referrals Filed,Native American Felony Referrals Not Filed,Native American Total Felony Referrals,White Felony Referrals Filed,White Felony Referrals Not Filed,White Total Felony Referrals,Percent of cases involving Black defendants declined,Percent of cases involving Hispanic defendants declined,Percent of cases involving Native American defendants declined,Percent of cases involving White defendants declined
2017,24,2,26,153,4,157,2,0,2,614,30,644,7.7,2.5,0.0,4.7
2018,51,5,56,156,11,167,2,1,3,651,26,677,8.9,6.6,33.3,3.8
2019,29,4,33,182,52,234,0,0,0,588,64,652,12.1,22.2,,9.8
2020,43,4,47,160,48,208,1,1,2,496,86,582,8.5,23.1,50.0,14.8
2021,37,4,41,243,55,298,1,0,1,553,74,627,9.8,18.5,0.0,11.8
2022,29,3,32,227,85,312,0,0,0,401,85,486,9.4,27.2,,17.5
2023,31,2,33,216,75,291,0,0,0,399,83,482,6.1,25.8,,17.2
2024,32,7,39,237,55,292,4,0,4,370,49,419,17.9,18.8,0.0,11.7
2025,30,3,33,240,39,279,1,0,1,354,55,409,9.1,14.0,0.0,13.4
