Referral Year,Filed,Declined,Total Felony Referrals,Percent Declined
2017,854,49,903,5.42635659
2018,916,66,982,6.7209776
2019,842,146,988,14.77732794
2020,728,169,897,18.84057971
2021,880,183,1063,17.21542803
2022,707,210,917,22.90076336
2023,670,216,886,24.37923251
2024,668,123,791,15.54993679
2025,641,104,745,13.95973154
