District,Quarter,Felony Filed,Misdemeanor Filed,Petty Offense/Infraction Filed,Total Felony Referrals,Percent of felony referrals charged as misdemeanors,Felony Charge Reduced to Misdemeanor,Felony Charge Not Reduced to Misdemeanor,Total Felony Charges Disposed,Percent of felony filings disposed as misdemeanors
05,2026 Q1,155,14,0,169,8.28402367,42,37,79,53.16455696
05,2025 Q3,173,12,3,188,6.38297872,51,58,109,46.78899083
05,2021 Q3,229,4,0,233,1.7167382,49,60,109,44.95412844
05,2023 Q1,179,6,1,186,3.22580645,75,61,136,55.14705882
05,2019 Q1,188,15,0,203,7.38916256,54,65,119,45.37815126
05,2022 Q2,151,19,0,170,11.17647059,57,72,129,44.18604651
05,2018 Q3,228,7,2,237,2.9535865,73,73,146,50.0
05,2019 Q2,185,17,0,202,8.41584158,98,88,186,52.68817204
05,2020 Q4,163,8,0,171,4.67836257,41,49,90,45.55555556
05,2017 Q3,206,10,0,216,4.62962963,59,58,117,50.42735043
05,2025 Q4,125,15,1,142,10.56338028,35,37,72,48.61111111
05,2021 Q2,211,6,0,217,2.76497696,70,78,148,47.2972973
05,2018 Q1,227,9,0,236,3.81355932,73,73,146,50.0
05,2019 Q4,198,8,0,206,3.88349515,62,77,139,44.60431655
05,2021 Q1,196,13,0,209,6.22009569,53,60,113,46.90265487
05,2019 Q3,219,12,0,231,5.19480519,70,45,115,60.86956522
05,2018 Q2,210,15,0,225,6.66666667,68,53,121,56.19834711
05,2020 Q3,183,7,0,190,3.68421053,42,48,90,46.66666667
05,2024 Q1,156,7,0,163,4.29447853,40,46,86,46.51162791
05,2020 Q1,182,7,0,189,3.7037037,47,58,105,44.76190476
05,2023 Q4,148,13,1,162,8.02469136,41,42,83,49.39759036
05,2018 Q4,200,18,0,218,8.25688073,63,59,122,51.63934426
05,2017 Q4,200,8,0,208,3.84615385,79,42,121,65.2892562
05,2024 Q3,177,7,0,185,3.78378378,43,38,81,53.08641975
05,2024 Q2,131,11,0,143,7.69230769,36,43,79,45.56962025
05,2025 Q1,141,11,0,152,7.23684211,45,53,98,45.91836735
05,2017 Q2,190,13,0,203,6.40394089,65,88,153,42.48366013
05,2026 Q3,1,0,0,1,0.0,1,0,1,100.0
05,2017 Q1,217,10,0,227,4.40528634,53,54,107,49.53271028
05,2022 Q3,164,21,0,186,11.29032258,48,57,105,45.71428571
05,2023 Q2,156,10,0,167,5.98802395,55,52,107,51.40186916
05,2020 Q2,169,9,0,178,5.05617978,36,51,87,41.37931034
05,2023 Q3,142,13,0,155,8.38709677,39,48,87,44.82758621
05,2022 Q1,176,18,0,194,9.27835052,70,73,143,48.95104895
05,2024 Q4,169,8,0,177,4.51977401,45,45,90,50.0
05,2022 Q4,142,12,3,157,7.6433121,62,62,124,50.0
05,2026 Q2,137,12,0,149,8.05369128,41,31,72,56.94444444
05,2021 Q4,202,19,0,221,8.59728507,66,72,138,47.82608696
05,2025 Q2,150,9,0,159,5.66037736,41,36,77,53.24675325
